EDAC,2012,01,01,00,00,METAR EDAC NIL=
EDAC,2012,01,01,01,00,METAR EDAC NIL=
EDAC,2012,01,01,02,00,METAR EDAC NIL=
EDAC,2012,01,01,03,00,METAR EDAC NIL=
EDAC,2012,01,01,04,00,METAR EDAC NIL=
EDAC,2012,01,01,05,00,METAR EDAC NIL=
EDAC,2012,01,01,06,00,METAR EDAC NIL=
EDAC,2012,01,01,07,00,METAR EDAC NIL=
EDAC,2012,01,01,08,00,METAR EDAC NIL=
EDAC,2012,01,01,09,00,METAR EDAC NIL=
EDAC,2012,01,01,10,00,METAR EDAC NIL=
EDAC,2012,01,01,11,00,METAR EDAC NIL=
EDAC,2012,01,01,12,00,METAR EDAC NIL=
EDAC,2012,01,01,13,00,METAR EDAC NIL=
EDAC,2012,01,01,14,00,METAR EDAC NIL=
EDAC,2012,01,01,15,00,METAR EDAC NIL=
EDAC,2012,01,01,16,00,METAR EDAC NIL=
EDAC,2012,01,01,17,00,METAR EDAC NIL=
EDAC,2012,01,01,18,00,METAR EDAC NIL=
EDAC,2012,01,01,19,00,METAR EDAC NIL=
EDAC,2012,01,01,20,00,METAR EDAC NIL=
EDAC,2012,01,01,21,00,METAR EDAC NIL=
EDAC,2012,01,01,22,00,METAR EDAC NIL=
EDAC,2012,01,01,23,00,METAR EDAC NIL=
EDAH,2012,01,01,00,00,METAR EDAH NIL=
EDAH,2012,01,01,01,00,METAR EDAH NIL=
EDAH,2012,01,01,02,00,METAR EDAH NIL=
EDAH,2012,01,01,03,00,METAR EDAH NIL=
EDAH,2012,01,01,04,00,METAR EDAH NIL=
EDAH,2012,01,01,05,00,METAR EDAH NIL=
EDAH,2012,01,01,06,00,METAR EDAH NIL=
EDAH,2012,01,01,07,00,METAR EDAH NIL=
EDAH,2012,01,01,08,00,METAR EDAH NIL=
EDAH,2012,01,01,09,00,METAR EDAH NIL=
EDAH,2012,01,01,10,00,METAR EDAH NIL=
EDAH,2012,01,01,11,00,METAR EDAH NIL=
EDAH,2012,01,01,12,00,METAR EDAH NIL=
EDAH,2012,01,01,13,00,METAR EDAH NIL=
EDAH,2012,01,01,14,00,METAR EDAH NIL=
EDAH,2012,01,01,15,00,METAR EDAH NIL=
EDAH,2012,01,01,16,00,METAR EDAH NIL=
EDAH,2012,01,01,17,00,METAR EDAH NIL=
EDAH,2012,01,01,18,00,METAR EDAH NIL=
EDAH,2012,01,01,19,00,METAR EDAH NIL=
EDAH,2012,01,01,20,00,METAR EDAH NIL=
EDAH,2012,01,01,21,00,METAR EDAH NIL=
EDAH,2012,01,01,22,00,METAR EDAH NIL=
EDAH,2012,01,01,23,00,METAR EDAH NIL=
EDDB,2012,01,01,00,20,METAR EDDB 010020Z 15007KT 8000 -DZ FEW016 SCT024 BKN120 01/00 Q1011 TEMPO BKN012=
EDDB,2012,01,01,00,50,METAR EDDB 010050Z 15007KT 8000 -DZ BKN007 BKN038 02/01 Q1011 NOSIG=
EDDB,2012,01,01,01,20,METAR EDDB 010120Z 16007KT 7000 BKN005 01/01 Q1011 TEMPO 4000 BR BKN004=
EDDB,2012,01,01,01,50,METAR EDDB 010150Z 16006KT 5000 -DZ BR SCT003 BKN005 02/02 Q1011 TEMPO 4000 BR BKN004=
EDDB,2012,01,01,02,20,METAR EDDB 010220Z 16006KT 3500 -DZ BR BKN002 02/02 Q1011 TEMPO 2000 BR BKN001=
